Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
399106,32,60,Hg + NaCl,solid,122,221.8,494.95,1.5,2.89913,0.00223045,3.34615,0.00158306,4.7349,0.00059356,5.79899,0.00130765,7.48976,0.00173697,8.20128,0.00251399,23.958107226824612,0.021994458,3.912422759,0.11232929731399384,,
399107,32,60,Hg,solid,122,223.5,496.65,1.4,,,,,,,,,,,,,,,,,,
399108,32,60,Hg + NaCl,solid,122,225.2,498.35,1.6,2.90199,0.00202173,3.34657,0.00156363,4.73647,0.000561594,5.8018,0.00139518,7.49282,0.00162233,8.20454,0.00263775,23.92960870789267,0.023040572,3.969965772,0.1075552087168847,,
399102,32,60,Hg + NaCl,solid,112,204.6,477.75,1,2.89951,0.00161515,3.34405,0.00128633,4.73209,0.000561451,5.79649,0.00114927,7.48539,0.00141239,8.20003,0.00262118,23.96904659077614,0.022946225,3.8653105973329196,0.089797231,,
399127,33,60,Hg + NaCl,liquid,132,256,529.15,1,2.90804,0.00165473,3.35804,0.000499646,4.75096,0.000233923,5.81743,0.000990317,7.51384,0.00085352,8.23484,0.0010876,23.66688230399211,0.009361121,4.350759423,0.075654221,,
399128,34,60,Hg + NaCl,liquid,132,256,529.15,1,2.90833,0.00132164,3.36209,0.000475953,4.75708,0.000234405,5.82558,0.00103819,7.52382,0.000815605,8.24536,0.00126541,23.576565995546066,0.010836101,4.496329978331292,0.065963037,,
399152,35,60,Hg + NaCl,liquid,160,316.2,589.35,1,2.93206,0.00256271,3.38786,0.0007102,4.78883,0.000604408,5.86872,0.00171405,7.57515,0.00143474,8.29829,0.0025445,23.12906499944029,0.021238952,5.494740519102812,0.13071588476926882,,
399149,35,60,Hg + NaCl,liquid,150,300,573.15,1,2.92921,0.00173861,3.3828,0.00121402,4.78457,0.000335988,5.85927,0.00111738,7.5673,0.000977703,8.29133,0.00164261,23.187257694238625,0.013756948,5.329632845695337,0.097661875,,
399150,35,60,Hg + NaCl,liquid,155,311.05,584.2,1.8,2.93485,0.00264038,3.38247,0.0009292,4.78549,0.000361258,5.86391,0.0011332,7.56805,0.00119627,8.29169,0.00199304,23.184242936417203,0.01668892,5.400973118970886,0.1297975608685429,,
399151,35,60,Hg + NaCl,liquid,155,316.3,589.45,1,2.92702,0.00305849,3.38571,0.000735319,4.78744,0.000478526,5.86495,0.00129168,7.5716,0.00108741,8.29656,0.0018988,23.14351133704936,0.01586251,5.399026601,0.1413464918749162,,
399153,35,60,Hg,liquid,163,316.2,589.35,1,,,,,,,,,,,,,,,,,,
399163,35,60,Hg + NaCl,liquid,175,337.75,610.9,2,,,,,4.79526,0.00124475,,,7.58271,0.0010049,8.29996,0.0118249,23.115131108711545,0.09862311,5.588519241316005,0.5198662122481049,,
399159,35,60,Hg + NaCl,liquid,163,320.55,593.7,1.1,,,,,4.79373,0.000998067,,,7.57461,0.00106893,8.29762,0.00543312,23.13465839502739,0.045364918,5.507107009256392,0.253930633,,
